"ID" "Gene"
"A_06_P6692" "YOR328W"
"A_06_P2542" "YEL003W"
"A_06_P6642" "YOR281C"
"A_06_P4714" "YKR076W"
"A_06_P3620" "YHR048W"
"A_06_P5315" "YML025C"
"A_06_P5958" "YNL186W"
"A_06_P2663" "YER039C"
"A_06_P1834" "YDL104C"
"A_06_P4229" "YJL207C"
"A_06_P1507" "YBR253W"
"A_06_P6385" "YOR023C"
"A_06_P2359" "YDR367W"
"A_06_P4266" "YJR019C"
"A_06_P3617" "YHR045W"
"A_06_P1147" "YBL018C"
"A_06_P3722" "YHR144C"
"A_06_P4102" "YJL080C"
"A_06_P4928" "YLR115W"
"A_06_P2060" "YDR073W"
"A_06_P2198" "YDR209C"
"A_06_P6459" "YOR097C"
"A_06_P4977" "YLR163C"
"A_06_P6926" "YPL167C"
"A_06_P2097" "YDR109C"
"A_06_P6404" "YOR042W"
"A_06_P6331" "YOL138C"
"A_06_P1357" "YBR105C"
"A_06_P6690" "YOR326W"
"A_06_P3329" "YGR109C"
"A_06_P3831" "YIL031W"
"A_06_P7208" "YPR160W"
"A_06_P1715" "YCR095C"
"A_06_P1003" "Q0045"
"A_06_P1956" "YDL221W"
"A_06_P4862" "YLR050C"
"A_06_P5441" "YMR013W-A"
"A_06_P6534" "YOR172W"
"A_06_P6909" "YPL150W"
"A_06_P3834" "YIL034C"
"A_06_P2885" "YFL059W"
"A_06_P1074" "YAL048C"
"A_06_P3855" "YIL055C"
"A_06_P2710" "YER079W"
"A_06_P2115" "YDR127W"
"A_06_P6276" "YOL084W"
"A_06_P3534" "YHL016C"
"A_06_P4666" "YKR029C"
"A_06_P4332" "YJR090C"
"A_06_P5886" "YNL115C"
"A_06_P6750" "YOR386W"
"A_06_P4534" "YKL122C"
"A_06_P4852" "YLR040C"
"A_06_P6309" "YOL116W"
"A_06_P6059" "YNL287W"
"A_06_P2626" "YER005W"
"A_06_P6425" "YOR063W"
"A_06_P5019" "YLR205C"
"A_06_P6437" "YOR075W"
"A_06_P5969" "YNL197C"
"A_06_P6053" "YNL281W"
"A_06_P3658" "YHR083W"
"A_06_P2995" "YGL040C"
"A_06_P1904" "YDL170W"
"A_06_P6658" "YOR297C"
"A_06_P1628" "YCR007C"
"A_06_P6494" "YOR132W"
"A_06_P4075" "YJL054W"
"A_06_P4785" "YLL040C"
"A_06_P4547" "YKL135C"
"A_06_P4791" "YLL046C"
"A_06_P3942" "YIL143C"
"A_06_P1132" "YBL003C"
"A_06_P3420" "YGR199W"
"A_06_P3323" "YGR103W"
"A_06_P3196" "YGL240W"
"A_06_P2577" "YEL036C"
"A_06_P6956" "YPL196W"
"A_06_P3037" "YGL082W"
"A_06_P3977" "YIR001C"
"A_06_P3716" "YHR139C-A"
"A_06_P6870" "YPL111W"
"A_06_P3525" "YHL007C"
"A_06_P5409" "YML116W"
"A_06_P1230" "YBL097W"
"A_06_P1025" "YAL002W"
"A_06_P5669" "YMR230W"
"A_06_P6764" "YPL005W"
"A_06_P2237" "YDR248C"
"A_06_P3035" "YGL080W"
"A_06_P2913" "YFR018C"
"A_06_P1422" "YBR169C"
"A_06_P5670" "YMR231W"
"A_06_P1514" "YBR260C"
"A_06_P5305" "YML015C"
"A_06_P6623" "YOR262W"
"A_06_P3572" "YHR003C"
"A_06_P2938" "YFR040W"
"A_06_P4451" "YKL042W"
"A_06_P2863" "YFL036W"
"A_06_P4675" "YKR037C"
"A_06_P2106" "YDR118W"
"A_06_P5633" "YMR194W"
"A_06_P5743" "YMR302C"
"A_06_P6375" "YOR013W"
"A_06_P4072" "YJL052C-A"
"A_06_P3975" "YIL176C"
"A_06_P2735" "YER102W"
"A_06_P4473" "YKL063C"
"A_06_P5700" "YMR261C"
"A_06_P4080" "YJL059W"
"A_06_P1533" "YBR279W"
"A_06_P1960" "YDL225W"
"A_06_P5570" "YMR138W"
"A_06_P2484" "YDR491C"
"A_06_P3187" "YGL231C"
"A_06_P4756" "YLL012W"
"A_06_P4542" "YKL130C"
"A_06_P5307" "YML017W"
"A_06_P1233" "YBL100C"
"A_06_P4399" "YJR155W"
"A_06_P1927" "YDL192W"
"A_06_P3707" "YHR132C"
"A_06_P3555" "TC20853"
"A_06_P1878" "YDL145C"
"A_06_P2722" "YER091C"
"A_06_P5114" "YLR298C"
"A_06_P2451" "YDR458C"
"A_06_P1666" "YCR040W"
"A_06_P3098" "YGL143C"
"A_06_P6268" "YOL077C"
"A_06_P5126" "YLR310C"
"A_06_P6279" "YOL086W-A"
"A_06_P4602" "YKL189W"
"A_06_P4790" "YLL045C"
"A_06_P3829" "YIL029C"
"A_06_P2200" "YDR211W"
"A_06_P7132" "YPR085C"
"A_06_P5421" "YML127W"
"A_06_P1001" "Q0010"
"A_06_P1622" "YCR001W"
"A_06_P6373" "YOR011W"
"A_06_P1573" "YCL022C"
"A_06_P2799" "YER167W"
"A_06_P1159" "YBL029W"
"A_06_P2730" "YER097W"
"A_06_P3262" "YGR042W"
"A_06_P2582" "YEL041W"
"A_06_P2779" "YER146W"
"A_06_P1068" "YAL042C-A"
"A_06_P4091" "YJL069C"
"A_06_P1570" "YCL017C"
"A_06_P6731" "YOR367W"
"A_06_P4829" "YLR017W"
"A_06_P2651" "YER027C"
"A_06_P2946" "YFR048W"
"A_06_P1126" "YHR214C-E"
"A_06_P6543" "YOR181W"
"A_06_P1135" "YBL006C"
"A_06_P1365" "YBR113W"
"A_06_P3094" "YGL139W"
"A_06_P3908" "YIL109C"
"A_06_P1104" "YAR019C"
"A_06_P3062" "YGL107C"
"A_06_P1391" "YBR139W"
"A_06_P1071" "YAL045C"
"A_06_P5901" "YNL130C"
"A_06_P2584" "YEL043W"
"A_06_P4385" "YJR141W"
"A_06_P2893" "YFL067W"
"A_06_P3793" "YAR068W"
"A_06_P1358" "YBR106W"
"A_06_P1216" "YBL084C"
"A_06_P3732" "YHR154W"
"A_06_P3132" "YGL177W"
"A_06_P1998" "YDR013W"
"A_06_P2966" "YGL011C"
"A_06_P2903" "YFR009W"
"A_06_P4780" "YLL035W"
